,hero_id,hero_name,hero_gender,hero_degree_centrality,hero_eigenvector_centrality
175,175,PINK PEARL/,Female,0.0088715953307393,0.004864425912343674
176,176,"WORTHINGTON, WARREN ",Male,0.004357976653696498,0.0033980258072017614
177,177,GADRIEL,Male,0.0017120622568093386,0.0006525194478729805
178,178,"ALEXANDER, CARRIE",Male,0.013540856031128406,0.012178303805583242
179,179,KEEVER,Male,0.000622568093385214,0.0009150857820598763
180,180,TUC,Male,0.0038910505836575876,0.0054220067719593056
181,181,PEACEKEEPER/JOSHUA,Male,0.0017120622568093386,0.0007087338023857743
182,182,BEAST/HENRY &HANK& P,Male,0.19719844357976654,0.09549890616372668
183,183,BRUTO THE STRONGMAN/,Male,0.010272373540856031,0.00969118037718154
184,184,"STEWART, MARY",Female,0.0015564202334630351,0.0006594336339290565
185,185,"HARRIS, BERNARD",Female,0.0015564202334630351,0.0008286929145128574
186,186,"BROWN, MINDY MCPHERS",Female,0.009027237354085603,0.006866303280944962
187,187,DAGDA,Female,0.0014007782101167316,0.0010282237740925767
188,188,"MURPHY, JOBOA",Male,0.002178988326848249,0.002175636811162355
189,189,THING DOPPELGANGER I,Male,0.020233463035019456,0.023978198745426792
190,190,SIN-EATER/STAN CARTE,Female,0.004046692607003891,0.0028569795727329734
191,191,GUINNESS,Male,0.0009338521400778211,1.3607688283841058e-05
192,192,"LOPEZ, JOSE",Female,0.0014007782101167316,0.0007212931042640913
193,193,VOID,Male,0.001245136186770428,0.002039794221126888
194,194,"CUMMINGS, DIANE",Female,0.0032684824902723736,0.001325615577718749
195,195,DANGOR,Male,0.0015564202334630351,0.0022704122430921886
196,196,"BERGLUND, GEN.",,0.0018677042801556422,0.0011072535356338913
197,197,"THOMAS, DR. STAN",Male,0.0017120622568093386,0.0008818886453393845
198,198,SALVO,Male,0.004046692607003891,0.0038495406668384536
199,199,DREADNAUGHT,Male,0.002957198443579767,0.0021696614634896375
200,200,"FISHMAN, DR. JONATHA",Male,0.0007782101167315176,0.0008713029353567123
201,201,"MARLEY, MITCH MADMAN",Male,0.002334630350194553,0.0003762472039788272
202,202,"STRANG, COL./LT. GAR",Male,0.007470817120622569,0.005341858621562615
203,203,"SANDOR, PROFESSOR IS",Male,0.0032684824902723736,0.0019425995997159064
204,204,"BENTLEY, VICTORIA",Male,0.0068482490272373546,0.0041710207343849184
205,205,BLACK WIDOW II/YELEN,Female,0.0031128404669260703,0.002458282735172096
206,206,EKAK,Male,0.002178988326848249,0.0013197575195984556
207,207,WILDSTREAK,Male,0.0015564202334630351,0.0006073078631791049
208,208,"SMITH, COL. TOLLIVER",Male,0.0032684824902723736,0.0015074264343126799
209,209,"STARK, MARIA | TIMES",Male,0.0038910505836575876,0.003653634768545505
210,210,HELIX/RAFAEL CARAGO,Female,0.009961089494163425,0.0047367089782275615
211,211,"GAULTHING, ANDERSON",Male,0.001245136186770428,0.0009412134541675756
212,212,GOLDBUG,Male,0.004824902723735409,0.002943927731537341
213,213,KURSE/ALGRIM [ASGARD,Male,0.018365758754863813,0.017619143731181192
214,214,JOSEPH,Male,0.020700389105058368,0.020772528648569336
215,215,URTHONA,Male,0.001245136186770428,0.0010880145653095565
216,216,MR. SINISTER | AOA,Male,0.000311284046692607,0.00022463881140383636
217,217,CEREBRO | MUTANT-X V,Female,0.006536964980544747,0.0010936863287235542
